match_id,winner
2011-wimbledon-2503,2
2011-usopen-2310,2
2011-wimbledon-1142,1
2011-frenchopen-1121,1
2011-ausopen-1225,1
2011-frenchopen-2102,2
2011-wimbledon-1223,1
2011-wimbledon-1161,1
2011-ausopen-1140,2
2011-frenchopen-1223,1
2011-wimbledon-1308,1
2011-usopen-1134,1
2011-frenchopen-2138,1
2011-frenchopen-2154,2
2011-frenchopen-1101,1
2011-wimbledon-2101,1
2011-usopen-2132,2
2011-ausopen-2124,2
2011-ausopen-2210,2
2011-frenchopen-1206,2
2011-frenchopen-1503,2
2011-ausopen-1214,2
2011-usopen-2202,1
2011-usopen-1601,1
2011-usopen-1504,2
2011-frenchopen-2215,1
2011-frenchopen-1143,2
2011-ausopen-2403,1
2011-frenchopen-1162,2
2011-frenchopen-2230,2
2011-frenchopen-2309,1
2011-usopen-2164,2
2011-frenchopen-1314,1
2011-ausopen-2153,1
2011-frenchopen-2160,2
2011-frenchopen-1139,2
2011-ausopen-1208,2
2011-usopen-1164,2
2011-usopen-1148,2
2011-frenchopen-2157,1
2011-frenchopen-1201,1
2011-wimbledon-1309,1
2011-frenchopen-2307,1
2011-ausopen-1701,2
2011-ausopen-1136,2
2011-usopen-2214,2
2011-ausopen-1501,2
2011-frenchopen-1132,2
2011-ausopen-1133,1
2011-wimbledon-2407,1
2011-wimbledon-1504,2
2011-usopen-1301,1
2011-ausopen-1103,1
2011-ausopen-1405,1
2011-ausopen-1301,1
2011-frenchopen-1218,2
