match_id,MAX(points.SetWinner),MEAN(points.Rally),STD(points.Rally),SUM(points.P1Ace),SUM(points.P1BreakPoint),SUM(points.P1BreakPointMissed),SUM(points.P1BreakPointWon),SUM(points.P1DoubleFault),MEAN(points.P1FirstSrvIn),SUM(points.P1ForcedError),MAX(points.P1GamesWon),MAX(points.P1Momentum),SUM(points.P1NetPoint),SUM(points.P1NetPointWon),MAX(points.P1PointsWon),SUM(points.P1UnfErr),SUM(points.P1Winner),SUM(points.P2Ace),SUM(points.P2BreakPoint),SUM(points.P2BreakPointMissed),SUM(points.P2BreakPointWon),SUM(points.P2DoubleFault),MEAN(points.P2FirstSrvIn),SUM(points.P2ForcedError),MAX(points.P2GamesWon),MAX(points.P2Momentum),SUM(points.P2NetPoint),SUM(points.P2NetPointWon),MAX(points.P2PointsWon),SUM(points.P2UnfErr),SUM(points.P2Winner),P1_1st_serve_percentage,P1_2nd_serve_percentage,P2_1st_serve_percentage,P2_2nd_serve_percentage,Wimbledon,French_Open,US_Open,Aus_Open
2011-wimbledon-2101,1,3.4074074074074074,2.8781448330381316,0.0,7,4,3,1.0,0.3333333333333333,10.0,6.0,66,6,3,32.0,1.0,4.0,2.0,3,2,1,2.0,0.3148148148148148,18.0,2.0,24,10,6,21.0,10.0,10.0,0.6666666666666666,0.5,0.4117647058823529,0.45454545454545453,1,0,0,0
2011-usopen-2132,2,3.4935064935064934,3.1855899917208457,1.0,7,6,1,1.0,0.14285714285714285,10.0,3.0,35,11,7,36.0,20.0,13.0,1.0,3,1,2,6.0,0.35064935064935066,7.0,6.0,43,13,7,40.0,16.0,10.0,0.7272727272727273,0.45454545454545453,0.7037037037037037,0.55,0,0,1,0
2011-ausopen-2124,2,2.7567567567567566,2.639501272393512,0.0,1,0,1,1.0,0.24324324324324326,10.0,1.0,12,0,0,11.0,8.0,3.0,3.0,4,1,3,3.0,0.32432432432432434,2.0,6.0,63,3,3,25.0,6.0,7.0,0.1111111111111111,0.42857142857142855,0.8333333333333334,0.5,0,0,0,1
2011-ausopen-2210,1,4.350877192982456,3.0618110191179304,0.0,3,1,2,2.0,0.3333333333333333,4.0,6.0,46,1,1,33.0,15.0,10.0,1.0,3,3,0,1.0,0.22807017543859648,7.0,2.0,11,4,2,23.0,16.0,4.0,0.6842105263157895,0.6666666666666666,0.6153846153846154,0.3333333333333333,0,0,0,1
2011-frenchopen-1206,1,3.3142857142857145,3.0146639543677125,1.0,5,4,1,0.0,0.3,7.0,6.0,70,12,9,39.0,16.0,16.0,1.0,1,1,0,1.0,0.35714285714285715,16.0,4.0,32,3,2,30.0,7.0,7.0,0.6666666666666666,0.9,0.68,0.4166666666666667,0,1,0,0
2011-frenchopen-1503,2,4.507936507936508,5.456198061491749,1.0,1,0,1,2.0,0.36507936507936506,12.0,4.0,24,4,2,28.0,12.0,5.0,1.0,6,4,2,2.0,0.20634920634920634,7.0,6.0,53,5,3,34.0,16.0,10.0,0.6086956521739131,0.46153846153846156,0.6923076923076923,0.7777777777777778,0,1,0,0
2011-ausopen-1214,2,4.625,3.7735078775759385,1.0,3,3,0,1.0,0.25,8.0,1.0,18,2,2,16.0,11.0,5.0,4.0,4,2,2,1.0,0.22916666666666666,8.0,6.0,73,3,2,31.0,3.0,12.0,0.5833333333333334,0.16666666666666666,1.0,0.5625,0,0,0,1
2011-usopen-2202,1,3.4153846153846152,2.941578592420168,3.0,8,4,4,2.0,0.3076923076923077,5.0,6.0,54,4,2,36.0,10.0,7.0,2.0,3,1,2,4.0,0.2,8.0,2.0,17,5,4,28.0,21.0,13.0,0.65,0.16666666666666666,0.5384615384615384,0.3684210526315789,0,0,1,0
2011-usopen-1601,2,4.038961038961039,4.336022790899387,1.0,0,0,0,1.0,0.2857142857142857,19.0,6.0,48,5,4,38.0,12.0,11.0,3.0,0,0,0,1.0,0.3116883116883117,14.0,7.0,49,11,8,38.0,13.0,7.0,0.8636363636363636,0.6428571428571429,0.75,0.7857142857142857,0,0,1,0
2011-usopen-1504,2,4.326530612244898,3.933762803718389,3.0,0,0,0,1.0,0.24489795918367346,9.0,2.0,20,10,3,20.0,8.0,4.0,1.0,2,0,2,1.0,0.22448979591836735,9.0,6.0,55,1,1,28.0,7.0,11.0,0.5833333333333334,0.45454545454545453,0.9090909090909091,0.5,0,0,1,0
